900 46124
33 42 68.099287
99 19 64.511572
12 84 74.267495
68 84 56.472493
72 31 70.739057
49 76 57.160771
64 36 65.031398
80 33 51.501331
60 77 78.058641
93 65 64.539409
59 99 62.201215
89 51 79.632199
53 61 80.474106
79 31 81.589666
32 3 70.185272
69 98 50.995562
84 73 77.205332
99 45 67.493314
58 37 74.224635
48 47 56.489405
5 93 91.343868
94 22 92.226642
65 59 72.463081
3 55 65.566022
55 75 84.656878
34 60 98.340470
75 7 90.922228
59 6 74.056118
11 85 69.641007
89 56 94.559080
99 14 73.319519
19 78 87.740293
5 69 59.070651
43 90 97.587014
19 16 94.212786
6 34 79.809708
33 75 54.747786
7 30 59.244185
20 19 81.311039
56 75 82.806427
31 62 73.783593
30 4 93.512253
85 2 62.438626
13 42 54.257699
74 28 75.101919
81 22 82.623898
17 64 55.253262
75 74 52.307252
44 66 50.117212
58 77 79.477897
79 70 58.796656
95 26 91.461081
30 17 71.704539
1 76 81.259737
66 60 57.027102
72 35 56.361417
33 30 79.600207
8 61 97.949331
71 12 80.417535
47 68 99.241213
30 66 92.508410
67 16 53.737054
71 9 86.981507
17 10 51.579061
52 91 51.324069
20 57 81.194293
55 47 81.388769
82 24 56.071854
52 7 90.438477
48 38 62.699808
43 7 88.878281
31 37 64.222071
39 25 56.212061
23 51 51.316907
93 45 68.479770
17 23 81.313981
23 16 83.940805
58 11 73.733032
12 9 83.621232
41 55 84.058017
58 71 53.210929
56 47 92.417888
5 21 75.519098
10 48 74.915467
74 7 73.677625
63 40 82.546200
29 3 81.276885
64 21 53.277832
49 53 80.495530
36 90 61.694420
63 68 52.519046
17 47 73.003940
90 78 65.431474
69 4 89.500552
55 51 74.583002
73 33 66.755543
56 49 70.694845
46 31 55.971771
83 44 72.827397
4 57 61.133323
17 62 68.671579
28 81 61.705678
46 49 75.355393
93 5 74.883641
49 42 63.022584
88 51 93.835164
40 31 56.197621
51 67 96.963389
51 47 67.568196
40 22 89.818853
84 41 81.021406
92 39 70.779124
36 53 82.236742
14 67 56.540504
17 8 95.694592
86 39 55.914367
6 96 89.086704
38 68 76.971476
83 45 59.192199
91 94 69.582234
72 71 88.665896
64 31 61.711245
37 69 92.586175
56 83 54.097370
71 10 51.211797
74 10 67.169176
34 4 70.852913
83 58 71.906643
47 88 73.140948
52 43 93.680310
85 20 83.039965
4 44 91.812527
54 46 55.385987
88 72 58.395359
14 4 66.696168
77 21 68.408572
78 36 52.230522
80 64 72.893789
81 67 65.371961
53 72 69.798718
15 62 62.712642
89 24 96.393367
96 42 90.577842
17 12 94.949384
22 5 52.933871
42 6 86.272434
63 26 50.863751
56 66 92.020575
63 44 63.243910
90 68 60.055950
8 73 61.602809
34 64 51.909806
38 52 71.767195
26 93 54.188983
12 44 56.007176
70 42 72.978992
74 33 71.358160
74 25 76.860089
82 13 94.885635
38 6 94.499107
56 20 70.540398
89 17 77.925600
61 31 86.311634
49 55 75.926386
20 21 86.320959
98 8 53.007802
17 2 94.334957
0 53 88.551481
90 27 75.901591
64 3 59.706918
51 19 58.350200
85 10 88.614233
61 92 56.100285
29 71 98.928042
82 82 83.563617
82 60 59.034156
66 59 85.200476
14 73 84.427367
50 51 51.054731
20 10 98.444386
60 93 94.483317
39 98 62.657540
27 12 50.354192
92 50 66.250512
77 40 66.846523
44 74 56.361368
84 51 89.229505
26 31 88.204682
54 83 83.221457
23 83 84.115140
92 76 82.703790
16 15 53.761856
84 8 62.040740
0 8 69.015424
53 91 79.688242
15 12 98.361699
75 62 72.023226
21 11 74.023199
88 96 86.913181
6 3 97.924817
34 5 83.730117
93 8 95.263380
70 80 86.539049
5 83 89.830402
72 9 94.191422
50 40 70.102666
0 47 98.864558
60 52 79.391898
76 37 54.530033
98 22 99.919289
70 13 77.836284
34 74 99.013350
37 25 62.576828
37 22 78.190476
90 34 65.263863
2 31 79.423351
1 89 84.551844
49 80 54.493368
10 10 67.628034
29 56 67.773302
43 91 88.608508
78 31 50.331823
60 70 71.535157
44 7 50.649248
25 31 69.347247
94 9 51.223399
98 84 99.010947
4 59 91.370473
1 19 75.246598
74 76 85.924127
4 54 89.295290
86 28 58.976715
13 9 81.187508
30 70 75.834339
31 45 98.807117
16 68 75.378930
37 38 95.937005
17 79 97.671675
46 22 54.770827
47 23 50.467038
4 74 97.590964
34 42 82.607111
76 99 99.480388
45 44 60.167792
96 41 60.797587
10 78 64.744251
51 29 89.591144
71 7 95.349431
49 82 69.237619
83 91 57.219177
54 84 63.122733
34 79 57.846126
23 56 57.551001
90 22 84.657890
58 64 58.495374
9 80 76.898248
87 49 85.881289
32 64 57.506321
59 48 68.268721
85 36 61.127887
90 96 93.430448
96 69 57.564011
64 60 70.104601
73 94 74.617956
8 86 83.398350
67 76 68.911718
26 40 99.996885
98 21 79.335355
80 73 66.583393
44 40 54.767713
43 86 79.802393
91 25 64.174357
67 82 87.374824
22 71 79.282781
6 97 74.342149
9 77 98.172411
36 45 94.027032
73 19 63.933292
43 68 93.521842
34 45 63.264651
5 14 71.152470
52 64 56.644574
58 90 71.110778
82 63 78.703470
14 10 91.302464
30 80 79.606152
23 22 55.601718
98 72 77.183753
94 38 87.112473
18 35 73.870439
89 14 88.311640
45 26 80.542921
51 76 81.434450
54 19 58.416241
83 70 55.160877
82 79 64.832800
25 11 77.327959
38 18 55.157762
50 58 94.168155
60 66 93.911351
52 86 59.925475
9 78 73.970547
35 26 58.085708
90 51 97.300299
11 66 53.253328
59 1 82.427857
17 72 95.472710
5 29 97.280361
96 45 96.361149
92 64 88.994551
59 88 60.545012
93 23 67.513619
68 6 95.639126
10 47 81.655789
77 92 96.217089
5 16 86.941590
38 54 61.261941
3 99 51.818808
47 86 64.125343
33 1 98.374414
15 69 75.689247
18 66 52.436982
69 83 78.917334
29 23 57.123697
52 88 60.853223
76 98 84.078211
56 7 71.956498
90 48 88.181182
16 37 89.235973
39 79 66.124653
63 92 82.092533
11 95 99.161449
84 82 90.095200
92 21 90.178241
97 38 96.461748
35 32 93.348529
35 27 72.606098
15 10 91.934457
10 93 90.628889
96 61 68.967247
10 46 80.929009
35 11 51.173901
88 19 86.480866
55 60 76.568134
67 77 82.829690
57 44 82.697955
23 15 63.509724
94 64 94.091631
58 65 84.516763
97 97 77.635067
26 48 92.466044
27 7 60.206010
44 12 80.072049
88 82 71.383379
75 37 67.329707
59 71 90.925272
36 54 55.461590
24 82 89.286205
11 52 79.106454
3 54 94.697563
44 14 55.410858
40 66 61.198987
34 88 93.859012
54 91 95.506058
10 22 51.377227
32 1 90.320759
89 93 88.854586
1 85 73.983325
55 29 82.255217
29 7 79.483476
92 78 92.950572
86 78 63.184225
81 31 80.657376
4 47 79.431438
80 76 89.752359
21 24 63.487066
48 36 62.129393
61 43 53.262083
20 65 57.578697
45 8 96.646156
62 16 80.897150
37 37 50.044741
57 51 56.852166
28 71 60.969199
4 34 71.428120
12 12 74.181873
60 41 51.894471
98 82 76.889710
44 26 63.468078
75 47 81.000924
55 28 71.587273
20 7 68.878936
58 76 92.199911
82 47 65.446285
97 21 64.384994
54 40 93.577139
48 69 55.767044
42 32 53.239581
54 47 67.560464
68 0 88.022261
92 74 82.723056
32 7 60.511035
2 73 51.206486
91 61 63.380432
11 54 89.942473
12 62 90.958845
38 34 76.867498
41 67 52.071866
89 68 94.220928
92 42 84.446195
58 87 98.718022
2 7 75.118078
37 57 84.490936
70 1 55.570188
34 34 86.087277
64 7 55.919056
0 12 79.752061
44 48 87.981747
78 93 82.808765
90 70 93.220139
48 37 68.982672
59 86 54.396038
61 65 62.099076
80 53 61.182583
19 97 69.842323
96 58 76.484070
62 68 54.759722
47 43 75.609367
32 20 79.723650
29 13 72.320185
34 12 63.631628
47 99 62.446706
48 51 82.831221
9 24 64.838113
91 95 75.827139
94 31 72.773694
63 41 55.796958
91 30 52.694637
98 93 74.845560
62 77 50.017886
30 57 87.140832
24 62 73.563582
39 61 75.135964
62 35 71.631768
92 11 79.133770
58 13 61.223241
25 45 77.550823
48 27 58.885831
24 61 99.204988
64 55 60.359589
59 77 52.105970
87 57 68.187660
4 55 64.755627
31 38 64.205046
21 31 79.370243
34 43 84.597949
49 27 90.689115
12 35 84.129965
7 43 60.207316
29 38 70.412766
