500 14299
33 42 92.825470
99 19 98.303338
12 84 84.020757
68 84 64.931395
72 31 97.903799
49 76 79.579250
64 36 79.606554
80 33 93.275822
60 77 78.834972
93 65 92.706531
59 99 65.571276
89 51 69.095630
53 61 72.610630
79 31 73.996730
32 3 97.491540
69 98 97.643952
84 73 78.211660
99 45 85.335909
58 37 65.807454
48 47 95.890164
5 93 74.905674
94 22 61.178482
65 59 68.455327
3 55 87.096925
55 75 82.041169
34 60 81.592909
75 7 50.767554
59 6 78.858295
11 85 67.646209
89 56 67.367278
99 14 54.060977
19 78 60.471679
5 69 65.670615
43 90 88.081733
19 16 75.403074
6 34 63.574414
33 75 67.660984
7 30 55.009628
20 19 56.850236
56 75 96.495956
31 62 97.716159
30 4 72.421512
85 2 65.591586
13 42 70.326789
74 28 96.418241
81 22 63.083126
17 64 67.970742
75 74 74.629901
44 66 98.419035
58 77 83.778196
79 70 70.520065
95 26 73.324709
30 17 94.956678
1 76 88.975392
66 60 60.421634
72 35 76.997847
33 30 70.568302
8 61 61.189188
71 12 55.856142
47 68 88.214511
30 66 78.556466
67 16 59.917119
71 9 98.686190
17 10 94.227081
52 91 97.998852
20 57 74.089264
55 47 57.801494
82 24 65.659836
52 7 79.098893
48 38 64.651730
43 7 62.155791
31 37 76.815052
39 25 87.073242
23 51 77.747377
93 45 97.141841
17 23 83.491483
23 16 90.830503
58 11 65.112583
12 9 58.121384
41 55 89.249537
58 71 98.890779
56 47 78.641450
5 21 62.574246
10 48 93.847456
74 7 67.616842
63 40 72.995880
29 3 70.845303
64 21 88.185144
49 53 84.185068
36 90 76.701445
63 68 76.399654
17 47 62.741534
90 78 86.618564
69 4 75.085845
55 51 56.968614
73 33 84.617416
56 49 99.175109
46 31 64.770109
83 44 50.277252
4 57 78.274002
17 62 79.421839
28 81 62.433043
46 49 55.089054
93 5 66.495081
49 42 90.180421
88 51 52.230895
40 31 99.986564
51 67 81.010923
51 47 67.343479
40 22 58.107948
84 41 70.260461
92 39 66.234257
36 53 86.749398
14 67 82.834707
17 8 60.081714
86 39 54.366240
6 96 55.830587
38 68 80.927017
83 45 92.551384
91 94 90.015655
72 71 57.628462
64 31 68.951038
37 69 52.757189
56 83 94.247026
71 10 94.036883
74 10 59.725804
34 4 78.864442
83 58 93.211992
47 88 74.495913
52 43 79.141694
85 20 71.485994
4 44 53.917752
54 46 91.574737
88 72 76.575048
14 4 70.412832
77 21 81.755158
78 36 78.805943
80 64 70.399396
81 67 62.766081
53 72 96.149422
15 62 78.507345
89 24 83.026542
96 42 62.383679
17 12 65.256743
22 5 65.861248
42 6 72.465393
63 26 69.622983
56 66 71.691835
63 44 53.392410
90 68 62.174367
8 73 61.707491
34 64 61.020872
38 52 81.125405
26 93 64.464680
12 44 55.267899
70 42 75.162288
74 33 74.190484
74 25 84.132341
82 13 68.374280
38 6 98.686396
56 20 63.274035
89 17 89.860274
61 31 52.604148
49 55 54.848772
20 21 66.435322
98 8 73.016980
17 2 86.603930
0 53 95.241265
90 27 93.416377
64 3 99.370011
51 19 91.390687
85 10 71.923721
61 92 82.396552
29 71 53.774366
82 82 87.180464
82 60 98.257801
66 59 76.239759
14 73 56.803448
50 51 69.949636
20 10 79.632169
60 93 68.977815
39 98 81.657127
27 12 90.653042
92 50 50.103220
77 40 96.121807
44 74 95.920940
84 51 75.265508
26 31 70.312290
54 83 80.053281
23 83 93.639788
92 76 68.998686
16 15 93.327316
84 8 83.500062
0 8 71.602834
53 91 98.176088
15 12 99.935384
75 62 94.619814
21 11 84.780017
88 96 95.176649
6 3 88.036191
34 5 84.150028
93 8 86.567335
70 80 59.959912
5 83 66.546580
72 9 90.341702
50 40 97.140377
0 47 64.804381
60 52 66.581461
76 37 53.943824
98 22 84.754017
70 13 96.213630
34 74 72.921639
37 25 66.411144
37 22 86.866672
90 34 73.024859
2 31 62.532950
1 89 82.787612
49 80 98.290367
10 10 82.845241
29 56 62.840893
43 91 91.930155
78 31 51.843927
60 70 56.168209
44 7 75.430217
25 31 73.446761
94 9 54.344296
98 84 75.365601
4 59 68.066576
1 19 89.124313
74 76 70.542249
4 54 56.102766
86 28 73.274341
13 9 57.109585
30 70 66.062679
31 45 89.820922
16 68 97.451287
37 38 63.203055
17 79 54.625302
46 22 64.032747
47 23 67.146880
4 74 89.379319
34 42 60.246377
76 99 90.068519
45 44 55.790463
96 41 97.113049
10 78 63.093378
51 29 68.323413
71 7 79.900661
49 82 61.383746
83 91 51.168654
54 84 92.741554
34 79 53.313901
23 56 53.012581
90 22 98.909763
58 64 78.744119
9 80 76.459342
87 49 53.254059
32 64 54.109719
59 48 94.525918
85 36 92.378372
90 96 74.651969
96 69 50.628684
64 60 65.652714
73 94 81.761554
8 86 66.691363
67 76 55.473635
26 40 79.212840
98 21 79.894418
80 73 60.098938
44 40 93.245588
43 86 97.041298
91 25 99.478257
67 82 53.491965
22 71 87.109817
6 97 55.268719
9 77 50.605014
36 45 50.203196
73 19 73.592133
43 68 80.505676
34 45 61.586942
5 14 74.760786
52 64 73.247230
58 90 64.900843
82 63 77.773367
14 10 72.156993
30 80 93.644961
23 22 54.232709
98 72 75.411052
94 38 97.754681
18 35 98.758627
89 14 67.789424
45 26 72.406650
51 76 99.387311
54 19 83.442138
83 70 54.168203
82 79 66.078674
25 11 88.915773
38 18 83.381043
50 58 95.973093
60 66 99.014711
52 86 76.626631
9 78 93.014391
35 26 98.492967
90 51 80.118596
11 66 80.124208
59 1 53.761687
17 72 80.723610
5 29 80.327404
96 45 77.353819
92 64 61.229286
59 88 91.914346
93 23 52.114605
68 6 84.476515
10 47 56.815188
77 92 79.887972
5 16 56.633508
38 54 50.460150
3 99 84.120682
47 86 82.044560
33 1 98.214831
15 69 82.879309
18 66 99.833984
69 83 70.621480
29 23 82.266620
52 88 83.276122
76 98 74.789683
56 7 98.345294
90 48 72.191895
16 37 58.170727
