1000 57240
33 42 94.194547
99 19 73.055341
12 84 66.842039
68 84 67.342905
72 31 51.245523
49 76 63.783866
64 36 68.813266
80 33 61.007083
60 77 98.543035
93 65 53.102020
59 99 71.818658
89 51 74.296972
53 61 76.446106
79 31 60.567278
32 3 60.988174
69 98 83.141104
84 73 92.440381
99 45 69.525424
58 37 51.593697
48 47 75.893572
5 93 91.793631
94 22 61.099573
65 59 59.798793
3 55 79.613693
55 75 75.083397
34 60 75.879435
75 7 85.425960
59 6 53.573017
11 85 65.919420
89 56 73.190131
99 14 94.241144
19 78 60.113967
5 69 96.245472
43 90 61.083183
19 16 77.456872
6 34 97.490995
33 75 74.867049
7 30 96.270138
20 19 58.498078
56 75 73.410085
31 62 99.372157
30 4 80.316736
85 2 97.707057
13 42 75.818263
74 28 90.884014
81 22 58.695231
17 64 58.959367
75 74 83.324394
44 66 78.220655
58 77 60.553064
79 70 59.217966
95 26 70.014286
30 17 71.652637
1 76 69.016759
66 60 99.627980
72 35 96.736034
33 30 94.896194
8 61 85.053940
71 12 50.309051
47 68 60.815614
30 66 58.244071
67 16 94.550195
71 9 70.929581
17 10 54.489542
52 91 55.633378
20 57 98.386453
55 47 51.980537
82 24 80.500427
52 7 94.656590
48 38 60.478616
43 7 53.910512
31 37 94.028748
39 25 90.795352
23 51 51.617569
93 45 69.847011
17 23 81.679365
23 16 60.312801
58 11 78.806378
12 9 65.003759
41 55 88.533456
58 71 89.359443
56 47 74.221725
5 21 58.547742
10 48 61.012080
74 7 93.238485
63 40 58.175721
29 3 57.748114
64 21 88.134679
49 53 93.229661
36 90 58.057165
63 68 98.950293
17 47 51.473732
90 78 52.607360
69 4 69.879873
55 51 55.963274
73 33 58.240738
56 49 68.266326
46 31 57.943811
83 44 88.741166
4 57 62.922916
17 62 68.422427
28 81 92.651678
46 49 56.951664
93 5 59.217779
49 42 94.269247
88 51 76.798675
40 31 90.897144
51 67 54.582048
51 47 55.605054
40 22 55.900904
84 41 93.115503
92 39 94.964496
36 53 80.122629
14 67 51.663245
17 8 55.976576
86 39 73.361114
6 96 59.838967
38 68 63.724690
83 45 61.495793
91 94 53.068628
72 71 71.781855
64 31 60.446085
37 69 54.542359
56 83 74.389216
71 10 80.325959
74 10 60.505633
34 4 82.629954
83 58 98.592285
47 88 68.449445
52 43 71.371120
85 20 61.515201
4 44 86.871872
54 46 64.022798
88 72 68.466865
14 4 96.089651
77 21 58.292045
78 36 95.265540
80 64 86.986796
81 67 62.874093
53 72 50.870593
15 62 92.887700
89 24 55.989596
96 42 95.835090
17 12 73.010329
22 5 57.652841
42 6 51.811666
63 26 96.371443
56 66 67.491808
63 44 65.536356
90 68 57.867236
8 73 70.560436
34 64 87.318211
38 52 68.313321
26 93 75.102795
12 44 61.707427
70 42 98.639280
74 33 85.608428
74 25 94.337381
82 13 97.231564
38 6 54.057873
56 20 65.708501
89 17 58.746765
61 31 90.929745
49 55 79.731298
20 21 77.213630
98 8 87.019396
17 2 88.023343
0 53 72.479170
90 27 74.006192
64 3 50.897436
51 19 73.349763
85 10 66.893891
61 92 56.887032
29 71 69.184853
82 82 89.904220
82 60 64.539873
66 59 70.996518
14 73 86.275663
50 51 82.031681
20 10 86.532874
60 93 94.142899
39 98 52.592117
27 12 73.851086
92 50 62.456220
77 40 77.694912
44 74 85.558513
84 51 61.095500
26 31 63.303340
54 83 79.895893
23 83 58.327064
92 76 67.361213
16 15 95.604394
84 8 67.073829
0 8 58.290958
53 91 75.335693
15 12 94.287459
75 62 95.310354
21 11 63.359036
88 96 66.766628
6 3 69.316546
34 5 64.256472
93 8 90.116392
70 80 86.210438
5 83 71.143504
72 9 59.301244
50 40 76.114658
0 47 85.683377
60 52 80.297763
76 37 62.390321
98 22 67.715058
70 13 66.830637
34 74 56.533220
37 25 70.307175
37 22 90.681722
90 34 68.989440
2 31 98.002086
1 89 76.240235
49 80 80.084940
10 10 61.305426
29 56 56.136128
43 91 88.412004
78 31 78.666639
60 70 51.740523
44 7 55.485833
25 31 86.957597
94 9 77.076215
98 84 99.773291
4 59 82.267952
1 19 90.435251
74 76 66.539920
4 54 51.584498
86 28 54.691723
13 9 56.656311
30 70 87.794936
31 45 75.835226
16 68 65.957555
37 38 63.909594
17 79 61.518603
46 22 96.255318
47 23 76.299915
4 74 79.233661
34 42 63.085955
76 99 82.833135
45 44 99.540836
96 41 53.767677
10 78 51.822575
51 29 97.542922
71 7 80.007912
49 82 81.907514
83 91 58.848349
54 84 86.144041
34 79 70.319518
23 56 87.514988
90 22 87.884563
58 64 75.805350
9 80 74.472585
87 49 64.960778
32 64 75.578642
59 48 56.740537
85 36 55.396029
90 96 92.118562
96 69 58.325035
64 60 60.087752
73 94 98.774873
8 86 96.119971
67 76 85.922978
26 40 64.732428
98 21 60.029565
80 73 97.441581
44 40 60.987746
43 86 86.329480
91 25 76.675242
67 82 74.073701
22 71 69.162615
6 97 76.216078
9 77 77.841378
36 45 70.985189
73 19 73.759001
43 68 57.849291
34 45 52.892704
5 14 82.607350
52 64 93.993331
58 90 73.212221
82 63 70.122338
14 10 81.877894
30 80 99.017572
23 22 94.594923
98 72 96.838673
94 38 74.596213
18 35 51.335460
89 14 52.234702
45 26 66.714775
51 76 59.660496
54 19 62.322454
83 70 65.489648
82 79 55.780467
25 11 98.245432
38 18 80.222076
50 58 65.810032
60 66 95.687013
52 86 91.209823
9 78 52.139512
35 26 72.362255
90 51 65.283524
11 66 71.302126
59 1 98.578334
17 72 93.124902
5 29 92.287315
96 45 72.337335
92 64 50.974193
59 88 95.180019
93 23 54.944684
68 6 94.967524
10 47 68.392240
77 92 75.067022
5 16 76.845418
38 54 67.409812
3 99 69.661945
47 86 73.684091
33 1 92.006026
15 69 70.997405
18 66 75.918793
69 83 58.720801
29 23 80.657901
52 88 88.241246
76 98 74.210449
56 7 86.438368
90 48 86.486678
16 37 54.432525
39 79 52.248400
63 92 82.173691
11 95 95.642348
84 82 54.387911
92 21 54.535947
97 38 60.925872
35 32 75.690038
35 27 53.114281
15 10 54.050774
10 93 67.977353
96 61 75.451615
10 46 55.024967
35 11 63.157372
88 19 80.396299
55 60 99.992491
67 77 81.549613
57 44 55.463321
23 15 76.837910
94 64 98.959425
58 65 75.125266
97 97 50.522001
26 48 90.965450
27 7 96.122672
