300 5195
33 42 73.613858
99 19 81.570546
12 84 75.291782
68 84 83.709819
72 31 64.027406
49 76 64.088876
64 36 76.778167
80 33 56.719428
60 77 58.769859
93 65 88.330195
59 99 69.859337
89 51 54.762571
53 61 56.077864
79 31 63.836438
32 3 79.278409
69 98 87.393807
84 73 62.548675
99 45 65.557971
58 37 51.782926
48 47 57.035398
5 93 51.808556
94 22 56.209436
65 59 56.923799
3 55 54.703623
55 75 78.150720
34 60 69.529046
75 7 75.539898
59 6 84.255267
11 85 86.788432
89 56 90.126521
99 14 97.461539
19 78 60.402290
5 69 71.697067
43 90 72.753321
19 16 94.112109
6 34 85.724473
33 75 86.842197
7 30 70.890276
20 19 92.443901
56 75 95.612057
31 62 59.220471
30 4 62.303238
85 2 50.374627
13 42 65.298335
74 28 76.139676
81 22 79.653037
17 64 52.692143
75 74 88.688351
44 66 95.211007
58 77 54.475069
79 70 95.723749
95 26 97.019564
30 17 60.684505
1 76 52.647549
66 60 51.723187
72 35 88.835225
33 30 72.176594
8 61 77.263084
71 12 73.090492
47 68 58.965026
30 66 67.389606
67 16 70.552032
71 9 69.367316
17 10 89.086672
52 91 93.305353
20 57 63.479425
55 47 74.811146
82 24 80.147550
52 7 84.369701
48 38 67.255047
43 7 75.759607
31 37 93.590172
39 25 79.558285
23 51 76.134234
93 45 58.888507
17 23 55.697961
23 16 55.787271
58 11 61.580650
12 9 94.386312
41 55 50.998279
58 71 66.055719
56 47 90.110061
5 21 98.017842
10 48 76.740224
74 7 92.757610
63 40 99.741029
29 3 65.575449
64 21 64.934204
49 53 77.004114
36 90 88.665941
63 68 73.899230
17 47 94.393719
90 78 59.217973
69 4 93.266546
55 51 83.480392
73 33 52.523326
56 49 56.745971
46 31 58.291537
83 44 82.670876
4 57 91.115672
17 62 75.546584
28 81 58.430483
46 49 84.705844
93 5 55.104869
49 42 84.564718
88 51 93.594351
40 31 60.802830
51 67 90.351989
51 47 55.175001
40 22 55.189142
84 41 91.350267
92 39 71.230720
36 53 95.299203
14 67 89.368109
17 8 97.970943
86 39 88.056813
6 96 89.109139
38 68 63.546392
83 45 52.991017
91 94 66.113252
72 71 52.212333
64 31 76.890247
37 69 60.506971
56 83 61.430306
71 10 70.156792
74 10 93.987363
34 4 63.953632
83 58 76.902763
47 88 52.278900
52 43 96.624508
85 20 68.018435
4 44 77.825485
54 46 55.054991
88 72 52.724279
14 4 82.930354
77 21 89.619708
78 36 96.318630
80 64 93.733184
81 67 79.971697
53 72 51.493630
15 62 98.922325
89 24 71.321964
96 42 72.724350
17 12 94.221528
22 5 60.690074
42 6 70.695293
63 26 82.278341
56 66 99.799212
63 44 84.241685
90 68 85.269357
8 73 65.912464
34 64 86.454018
38 52 62.159604
26 93 76.419436
12 44 97.884324
70 42 82.316397
74 33 70.406799
74 25 61.837955
82 13 59.219160
38 6 72.685699
56 20 58.462463
89 17 77.237594
61 31 50.511183
49 55 63.517454
20 21 79.961873
98 8 83.441537
17 2 53.137163
0 53 76.280502
90 27 77.174721
64 3 83.108860
51 19 77.774133
85 10 76.097046
61 92 54.430824
29 71 50.498483
82 82 70.318575
82 60 65.120898
66 59 71.193776
14 73 52.596915
50 51 64.920110
20 10 55.435461
60 93 87.866273
39 98 80.832575
27 12 91.889479
92 50 50.025877
77 40 57.252011
44 74 89.773803
84 51 82.342274
26 31 77.658809
54 83 51.611758
23 83 91.561433
92 76 50.344508
16 15 60.074221
84 8 68.799028
0 8 50.855692
53 91 73.591675
15 12 98.760901
75 62 84.297229
21 11 76.728838
88 96 75.041403
6 3 61.471950
34 5 59.837697
93 8 52.815536
70 80 87.568996
5 83 64.268522
72 9 53.314018
50 40 57.887571
0 47 79.389420
60 52 74.507794
76 37 60.484487
98 22 94.309530
70 13 79.943255
34 74 98.350760
37 25 75.142105
37 22 71.832734
90 34 98.376637
2 31 82.394116
1 89 61.606536
49 80 80.718910
10 10 60.052925
29 56 63.218294
43 91 72.280344
78 31 60.397433
60 70 73.292515
44 7 91.079371
25 31 61.253125
94 9 96.884190
98 84 89.840272
4 59 95.550354
1 19 73.613028
74 76 64.881675
4 54 57.022304
86 28 83.450725
13 9 67.697210
30 70 94.591300
31 45 97.719247
16 68 71.011229
37 38 52.478872
17 79 77.108667
46 22 95.519023
47 23 62.963358
4 74 71.418197
