700 27921
33 42 54.688669
99 19 55.696433
12 84 83.333644
68 84 52.258044
72 31 65.829371
49 76 96.212714
64 36 70.804749
80 33 52.405806
60 77 55.803837
93 65 53.267030
59 99 91.333293
89 51 73.237982
53 61 97.574703
79 31 67.645333
32 3 88.382002
69 98 64.741635
84 73 52.611828
99 45 60.775412
58 37 98.950413
48 47 75.352411
5 93 56.758688
94 22 72.586078
65 59 76.146506
3 55 98.648378
55 75 79.064495
34 60 93.704205
75 7 78.922425
59 6 68.324685
11 85 90.885358
89 56 53.539190
99 14 92.287864
19 78 95.574027
5 69 59.235623
43 90 75.621508
19 16 97.832071
6 34 75.064994
33 75 71.834222
7 30 68.636819
20 19 77.470801
56 75 77.638059
31 62 71.903850
30 4 68.804094
85 2 50.876040
13 42 69.478553
74 28 86.449426
81 22 89.258043
17 64 84.220187
75 74 89.061255
44 66 50.033455
58 77 83.170601
79 70 64.413665
95 26 56.792143
30 17 55.756678
1 76 90.560171
66 60 55.440521
72 35 84.821174
33 30 84.264376
8 61 84.362946
71 12 53.145859
47 68 75.149734
30 66 87.902136
67 16 95.433723
71 9 70.723760
17 10 97.137759
52 91 71.055231
20 57 68.555831
55 47 72.202753
82 24 92.889453
52 7 87.192650
48 38 99.673554
43 7 70.527512
31 37 59.096500
39 25 68.477648
23 51 71.403552
93 45 78.575053
17 23 54.927074
23 16 60.661595
58 11 62.795240
12 9 93.988329
41 55 60.695050
58 71 95.965841
56 47 58.401994
5 21 67.487193
10 48 51.722519
74 7 98.962165
63 40 72.927713
29 3 86.543693
64 21 83.226540
49 53 57.290659
36 90 89.689552
63 68 58.376274
17 47 95.192795
90 78 85.123275
69 4 79.100034
55 51 92.330554
73 33 56.178506
56 49 97.655865
46 31 64.533307
83 44 99.067959
4 57 84.848515
17 62 64.206862
28 81 69.595470
46 49 93.945016
93 5 82.684509
49 42 90.999022
88 51 72.520069
40 31 87.611583
51 67 51.660617
51 47 85.315309
40 22 81.599912
84 41 62.355666
92 39 81.281150
36 53 90.001906
14 67 79.842859
17 8 83.003669
86 39 88.964071
6 96 52.770572
38 68 69.547362
83 45 72.190611
91 94 60.061231
72 71 59.236914
64 31 80.566885
37 69 55.254025
56 83 94.360189
71 10 59.666919
74 10 97.584579
34 4 50.538695
83 58 57.322784
47 88 62.117886
52 43 99.606654
85 20 92.171299
4 44 76.324748
54 46 69.202124
88 72 86.116315
14 4 59.009257
77 21 60.201147
78 36 58.636383
80 64 96.620841
81 67 61.861763
53 72 93.951692
15 62 78.220753
89 24 74.217430
96 42 75.232842
17 12 68.222659
22 5 54.060289
42 6 58.236511
63 26 57.186730
56 66 56.830861
63 44 77.783873
90 68 79.377341
8 73 66.892092
34 64 87.020788
38 52 59.944226
26 93 72.146117
12 44 81.380977
70 42 69.611145
74 33 69.730696
74 25 81.919672
82 13 76.933929
38 6 81.848582
56 20 81.526326
89 17 69.105228
61 31 58.173330
49 55 50.728451
20 21 55.221543
98 8 67.182587
17 2 60.929597
0 53 63.857926
90 27 63.803428
64 3 72.791360
51 19 57.809618
85 10 92.024180
61 92 97.008790
29 71 83.042460
82 82 60.246839
82 60 51.069079
66 59 91.278971
14 73 67.433569
50 51 57.899939
20 10 69.062845
60 93 96.810909
39 98 74.792031
27 12 56.083632
92 50 56.755135
77 40 96.938148
44 74 87.464609
84 51 76.366280
26 31 66.668844
54 83 69.384282
23 83 53.300209
92 76 98.517426
16 15 50.910608
84 8 72.405437
0 8 56.690756
