400 9242
33 42 71.945386
99 19 92.423641
12 84 84.542504
68 84 70.800357
72 31 58.384738
49 76 92.423322
64 36 54.323425
80 33 78.644582
60 77 72.578241
93 65 98.716497
59 99 84.866707
89 51 88.827019
53 61 73.089359
79 31 96.507343
32 3 65.879632
69 98 72.738429
84 73 52.932273
99 45 88.419792
58 37 85.940950
48 47 65.777967
5 93 67.614924
94 22 93.063770
65 59 81.210665
3 55 73.509663
55 75 70.665957
34 60 86.184317
75 7 61.151317
59 6 72.286262
11 85 84.569855
89 56 67.211174
99 14 58.387260
19 78 56.515240
5 69 59.634815
43 90 92.929764
19 16 77.315597
6 34 68.019553
33 75 85.353086
7 30 81.639022
20 19 96.664134
56 75 57.931327
31 62 80.355520
30 4 81.530841
85 2 96.758346
13 42 53.444879
74 28 78.038184
81 22 62.637977
17 64 76.183308
75 74 80.970457
44 66 51.057769
58 77 62.124258
79 70 96.748424
95 26 68.672694
30 17 55.188028
1 76 77.959089
66 60 92.182357
72 35 75.853985
33 30 64.143406
8 61 53.333674
71 12 98.140246
47 68 98.713261
30 66 70.544848
67 16 56.527506
71 9 55.228501
17 10 80.179663
52 91 99.457270
20 57 82.544098
55 47 98.199216
82 24 84.810356
52 7 64.183121
48 38 94.863350
43 7 92.741683
31 37 94.538640
39 25 76.394191
23 51 89.500029
93 45 97.983520
17 23 54.432375
23 16 52.138006
58 11 74.166827
12 9 85.402832
41 55 53.195775
58 71 86.291085
56 47 82.151257
5 21 71.868469
10 48 91.479113
74 7 60.110346
63 40 64.050827
29 3 67.333098
64 21 74.253752
49 53 67.384501
36 90 65.473344
63 68 72.967013
17 47 87.929349
90 78 72.000850
69 4 78.195515
55 51 68.109012
73 33 71.458121
56 49 60.739613
46 31 66.308227
83 44 56.268477
4 57 74.922734
17 62 61.171577
28 81 99.010160
46 49 69.461374
93 5 87.565768
49 42 88.510188
88 51 67.444893
40 31 91.998144
51 67 90.648194
51 47 91.611721
40 22 77.400976
84 41 93.843970
92 39 77.902806
36 53 59.552233
14 67 65.712439
17 8 69.381919
86 39 69.662579
6 96 79.763266
38 68 86.715017
83 45 93.916331
91 94 97.147766
72 71 52.188361
64 31 66.883344
37 69 85.077115
56 83 74.189211
71 10 95.078859
74 10 53.186127
34 4 95.647331
83 58 55.818472
47 88 69.494354
52 43 51.915808
85 20 80.741205
4 44 80.665931
54 46 50.925968
88 72 50.202579
14 4 68.231700
77 21 89.436156
78 36 67.647473
80 64 60.229844
81 67 80.084350
53 72 59.259194
15 62 87.630820
89 24 73.928320
96 42 87.162000
17 12 97.183053
22 5 89.640759
42 6 56.543919
63 26 66.845631
56 66 69.404025
63 44 93.258936
90 68 60.761963
8 73 66.551791
34 64 95.447297
38 52 77.645307
26 93 51.628906
12 44 69.636507
70 42 72.724166
74 33 54.815032
74 25 65.283838
82 13 78.542638
38 6 74.309387
56 20 67.199646
89 17 59.283844
61 31 54.975318
49 55 68.125614
20 21 59.486423
98 8 73.207018
17 2 57.561770
0 53 77.133896
90 27 83.436861
64 3 87.646120
51 19 86.393090
85 10 71.067681
61 92 61.574440
29 71 73.555090
82 82 68.250734
82 60 51.215199
66 59 80.099009
14 73 85.096365
50 51 70.619224
20 10 73.357945
60 93 95.858328
39 98 87.171014
27 12 68.805242
92 50 73.503635
77 40 88.799920
44 74 88.441749
84 51 96.227801
26 31 93.614952
54 83 53.725587
23 83 74.770439
92 76 67.924339
16 15 70.925233
84 8 84.054283
0 8 72.899657
53 91 89.050847
15 12 93.540706
75 62 96.106675
21 11 96.612617
88 96 70.674602
6 3 79.543536
34 5 84.258737
93 8 57.067692
70 80 50.611217
5 83 95.833177
72 9 80.622781
50 40 68.861951
0 47 97.048376
60 52 60.721790
76 37 53.958316
98 22 67.667599
70 13 84.079735
34 74 99.816643
37 25 54.838614
37 22 52.884976
90 34 73.320278
2 31 93.638533
1 89 91.326725
49 80 69.548079
10 10 87.253486
29 56 95.052312
43 91 94.318518
78 31 55.177824
60 70 65.977546
44 7 78.372801
25 31 78.077481
94 9 55.028393
98 84 71.913507
4 59 74.184156
1 19 51.641010
74 76 92.588109
4 54 53.727692
86 28 85.899747
13 9 99.655801
30 70 54.338909
31 45 81.732923
16 68 80.278582
37 38 73.200860
17 79 78.781299
46 22 91.000372
47 23 77.159175
4 74 96.448898
34 42 75.080106
76 99 76.975819
45 44 51.287512
96 41 77.965083
